Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,54.919998,55.110001,54.720001,54.970001,54.970001,1189700
2019-06-17,55.040001,55.139999,54.840000,54.849998,54.849998,814000
2019-06-18,55.790001,56.480000,55.680000,56.369999,56.369999,1405300
2019-06-19,55.650002,55.830002,55.160000,55.730000,55.730000,1681600
2019-06-20,57.029999,57.220001,56.520000,57.090000,57.090000,2529200
2019-06-21,56.900002,57.119999,56.590000,56.599998,56.599998,1232800
2019-06-24,56.990002,57.380001,56.889999,57.340000,57.340000,1450700
2019-06-25,57.669998,57.900002,57.060001,57.080002,57.080002,1619300
2019-06-26,57.560001,58.049999,57.380001,57.869999,57.869999,1365100
2019-06-27,58.270000,58.419998,57.959999,58.209999,58.209999,1745000
2019-06-28,58.380001,58.490002,58.020000,58.110001,58.110001,1210900
2019-07-01,58.919998,58.970001,58.189999,58.439999,58.439999,2038300
2019-07-02,58.759998,59.020000,58.500000,58.970001,58.970001,1296100
2019-07-03,58.790001,58.930000,58.520000,58.930000,58.930000,1043400
2019-07-05,56.160000,56.700001,55.820000,56.610001,56.610001,2462400
2019-07-08,56.990002,57.490002,56.759998,57.189999,57.189999,1701700
2019-07-09,56.650002,56.919998,56.540001,56.869999,56.869999,1804400
2019-07-10,57.570000,57.680000,57.110001,57.439999,57.439999,1350100
2019-07-11,57.009998,57.259998,56.730000,57.209999,57.209999,835000
2019-07-12,57.349998,57.470001,57.080002,57.240002,57.240002,1196100
2019-07-15,57.820000,57.930000,57.540001,57.849998,57.849998,708700
2019-07-16,57.480000,58.060001,57.480000,57.560001,57.560001,1447700
2019-07-17,58.009998,58.400002,57.990002,58.009998,58.009998,1705400
2019-07-18,57.639999,57.939999,57.349998,57.840000,57.840000,1744200
